speaker_native_language,num_utts,wer,cer,Model,wer_baseline,wer_rel_imp
Arabic,3,0.5360824742268041,0.525695931477516,Zero-shot,0.5360824742268041,0.0
Chinese,4,0.6418181818181818,0.6207025411061285,Zero-shot,0.6418181818181818,0.0
Hindi,3,0.4264705882352941,0.40540540540540543,Zero-shot,0.4264705882352941,0.0
Korean,4,0.8028169014084507,0.795483870967742,Zero-shot,0.8028169014084507,0.0
Spanish,4,0.6011560693641619,0.5776281331836888,Zero-shot,0.6011560693641619,0.0
Vietnamese,4,0.5467032967032966,0.4811320754716981,Zero-shot,0.5467032967032966,0.0
Arabic,3,0.6701030927835051,0.6664882226980728,Naive LoRA FT,0.5360824742268041,-24.999999999999993
Chinese,4,0.6145454545454545,0.5904334828101644,Naive LoRA FT,0.6418181818181818,4.249291784702559
Hindi,3,0.4264705882352941,0.40540540540540543,Naive LoRA FT,0.4264705882352941,0.0
Korean,4,0.7865655471289275,0.7836559139784947,Naive LoRA FT,0.8028169014084507,2.0242914979757076
Spanish,4,0.5895953757225434,0.5716423494201271,Naive LoRA FT,0.6011560693641619,1.9230769230769222
Vietnamese,4,0.5247252747252747,0.4594894561598224,Naive LoRA FT,0.5467032967032966,4.020100502512549
Arabic,3,0.5360824742268041,0.5240899357601713,CTC Aux,0.5360824742268041,0.0
Chinese,4,0.6236363636363637,0.6046337817638266,CTC Aux,0.6418181818181818,2.8328611898017004
Hindi,3,0.4323529411764706,0.40871483728626584,CTC Aux,0.4264705882352941,-1.3793103448275943
Korean,4,0.7908992416034669,0.7868817204301075,CTC Aux,0.8028169014084507,1.4844804318488625
Spanish,4,0.6011560693641619,0.5794986906098017,CTC Aux,0.6011560693641619,0.0
Vietnamese,4,0.5384615384615384,0.4750277469478357,CTC Aux,0.5467032967032966,1.5075376884422058
