model,layer,phoneme_acc,phoneme_f1,accent_acc,accent_f1,speaker_acc,speaker_f1
baseline,0,0.3374333333333333,0.32718034343414626,0.13033333333333333,0.13655173596201833,,
baseline,1,0.5734666666666667,0.5400438837658582,0.1021,0.12084502822094716,,
baseline,2,0.6447,0.6091732974743381,0.0836,0.0932210914721398,,
baseline,3,0.7015333333333333,0.6741298210224753,0.12263333333333333,0.12442596069127058,,
baseline,4,0.7384,0.7197660222435747,0.1363,0.13562493796828154,,
baseline,5,0.7705666666666666,0.7550703292569623,0.24053333333333332,0.2499579359651287,,
baseline,6,0.8011333333333334,0.791535605051151,0.4079333333333333,0.41962420930036953,,
baseline_lora,0,0.3374333333333333,0.32718034343414626,0.13033333333333333,0.13655173596201833,,
baseline_lora,1,0.5675666666666667,0.5357609542713977,0.10313333333333333,0.12186135507056828,,
baseline_lora,2,0.6411333333333333,0.6059066037117194,0.08803333333333334,0.0964722987590889,,
baseline_lora,3,0.6986666666666667,0.6705650293548211,0.12543333333333334,0.12440325963154945,,
baseline_lora,4,0.7352,0.7158772847819526,0.13896666666666666,0.13834552107670153,,
baseline_lora,5,0.7667666666666667,0.7509442409809455,0.2517,0.26236655444270107,,
baseline_lora,6,0.7992666666666667,0.7899814700675097,0.4433,0.4536883997079108,,
ctc_aux,0,0.3374333333333333,0.32718034343414626,0.13033333333333333,0.13655173596201833,,
ctc_aux,1,0.5489666666666667,0.5197670631555478,0.1059,0.12439530942815054,,
ctc_aux,2,0.6236333333333334,0.5880487713030598,0.09526666666666667,0.10836513668104618,,
ctc_aux,3,0.6830666666666667,0.6524587200029435,0.10913333333333333,0.11997615279043121,,
ctc_aux,4,0.7229666666666666,0.701883997037585,0.14433333333333334,0.14709467494492506,,
ctc_aux,5,0.7573333333333333,0.7411690654008705,0.22236666666666666,0.23193060807641452,,
ctc_aux,6,0.7958333333333333,0.7868698673185701,0.3782,0.3896646252005486,,
